,product_id,category,sub_category,cost_price,list_price,discount_percent,discount_price,sale_price,profit,quantity
0,FUR-BO-10001798,Furniture,Bookcases,240,260,2,5.2,254.8,14.8,2
1,FUR-CH-10000454,Furniture,Chairs,600,730,3,21.9,708.1,108.1,3
2,OFF-LA-10000240,Office Supplies,Labels,10,10,5,0.5,9.5,-0.5,2
3,FUR-TA-10000577,Furniture,Tables,780,960,2,19.2,940.8,160.8,5
4,OFF-ST-10000760,Office Supplies,Storage,20,20,5,1.0,19.0,-1.0,2
5,FUR-FU-10001487,Furniture,Furnishings,50,50,3,1.5,48.5,-1.5,7
6,OFF-AR-10002833,Office Supplies,Art,10,10,3,0.3,9.7,-0.3,4
7,TEC-PH-10002275,Technology,Phones,860,910,5,45.5,864.5,4.5,6
8,OFF-BI-10003910,Office Supplies,Binders,20,20,2,0.4,19.6,-0.4,3
9,OFF-AP-10002892,Office Supplies,Appliances,90,110,3,3.3,106.7,16.7,5
10,FUR-TA-10001539,Furniture,Tables,1470,1710,3,51.3,1658.7,188.7,9
11,TEC-PH-10002033,Technology,Phones,750,910,3,27.3,882.7,132.7,4
12,OFF-PA-10002365,Office Supplies,Paper,20,20,3,0.6,19.4,-0.6,3
13,OFF-BI-10003656,Office Supplies,Binders,360,410,2,8.2,401.8,41.8,3
14,OFF-AP-10002311,Office Supplies,Appliances,60,70,5,3.5,66.5,6.5,5
15,OFF-BI-10000756,Office Supplies,Binders,0,0,5,0.0,0.0,0.0,3
16,OFF-ST-10004186,Office Supplies,Storage,610,670,3,20.1,649.9,39.9,6
17,OFF-ST-10000107,Office Supplies,Storage,60,60,4,2.4,57.6,-2.4,2
18,OFF-AR-10003056,Office Supplies,Art,10,10,4,0.4,9.6,-0.4,2
19,TEC-PH-10001949,Technology,Phones,170,210,3,6.3,203.7,33.7,3
20,OFF-BI-10002215,Office Supplies,Binders,20,20,2,0.4,19.6,-0.4,4
21,OFF-AR-10000246,Office Supplies,Art,20,20,4,0.8,19.2,-0.8,7
22,OFF-AP-10001492,Office Supplies,Appliances,50,60,3,1.8,58.2,8.2,7
23,FUR-CH-10002774,Furniture,Chairs,60,70,4,2.8,67.2,7.2,2
24,FUR-TA-10000577,Furniture,Tables,900,1040,5,52.0,988.0,88.0,3
25,OFF-BI-10001634,Office Supplies,Binders,10,10,5,0.5,9.5,-0.5,2
26,TEC-AC-10003027,Technology,Accessories,80,90,3,2.7,87.3,7.3,3
27,FUR-BO-10004834,Furniture,Bookcases,2740,3080,3,92.4,2987.6,247.6,7
28,OFF-BI-10000474,Office Supplies,Binders,10,10,5,0.5,9.5,-0.5,2
29,FUR-FU-10004848,Furniture,Furnishings,100,120,4,4.8,115.2,15.2,3
30,OFF-EN-10001509,Office Supplies,Envelopes,0,0,5,0.0,0.0,0.0,2
31,OFF-AR-10004042,Office Supplies,Art,70,90,4,3.6,86.4,16.4,6
32,OFF-BI-10001525,Office Supplies,Binders,10,10,5,0.5,9.5,-0.5,6
33,OFF-AR-10001683,Office Supplies,Art,20,20,4,0.8,19.2,-0.8,2
34,OFF-PA-10000249,Office Supplies,Paper,30,30,3,0.9,29.1,-0.9,3
35,TEC-PH-10004977,Technology,Phones,1020,1100,5,55.0,1045.0,25.0,7
36,FUR-FU-10003664,Furniture,Furnishings,180,190,4,7.6,182.4,2.4,5
37,OFF-EN-10002986,Office Supplies,Envelopes,90,110,2,2.2,107.8,17.8,9
38,FUR-BO-10002545,Furniture,Bookcases,460,530,2,10.6,519.4,59.4,3
39,FUR-CH-10004218,Furniture,Chairs,200,210,2,4.2,205.8,5.8,3
40,TEC-PH-10000486,Technology,Phones,350,370,5,18.5,351.5,1.5,4
41,TEC-PH-10004093,Technology,Phones,140,150,3,4.5,145.5,5.5,4
42,OFF-ST-10003479,Office Supplies,Storage,70,80,5,4.0,76.0,6.0,2
43,OFF-ST-10003282,Office Supplies,Storage,90,100,4,4.0,96.0,6.0,2
44,TEC-AC-10000171,Technology,Accessories,40,50,2,1.0,49.0,9.0,2
45,OFF-BI-10003291,Office Supplies,Binders,20,20,5,1.0,19.0,-1.0,2
46,OFF-ST-10001713,Office Supplies,Storage,180,210,4,8.4,201.6,21.6,4
47,TEC-AC-10002167,Technology,Accessories,50,50,5,2.5,47.5,-2.5,3
48,TEC-PH-10003988,Technology,Phones,20,20,4,0.8,19.2,-0.8,2
49,OFF-BI-10004410,Office Supplies,Binders,30,40,4,1.6,38.4,8.4,6
50,OFF-LA-10002762,Office Supplies,Labels,70,80,4,3.2,76.8,6.8,6
51,FUR-FU-10001706,Furniture,Furnishings,10,10,4,0.4,9.6,-0.4,2
52,FUR-CH-10003061,Furniture,Chairs,70,90,5,4.5,85.5,15.5,1
53,OFF-FA-10000304,Office Supplies,Fasteners,20,20,3,0.6,19.4,-0.6,7
54,TEC-PH-10002447,Technology,Phones,850,1030,4,41.2,988.8,138.8,5
55,OFF-ST-10000604,Office Supplies,Storage,200,210,5,10.5,199.5,-0.5,6
56,OFF-PA-10001569,Office Supplies,Paper,30,30,5,1.5,28.5,-1.5,5
57,FUR-CH-10003968,Furniture,Chairs,290,320,2,6.4,313.6,23.6,5
58,OFF-PA-10000587,Office Supplies,Paper,10,10,4,0.4,9.6,-0.4,2
59,TEC-AC-10002167,Technology,Accessories,20,30,5,1.5,28.5,8.5,2
60,OFF-BI-10001460,Office Supplies,Binders,40,50,2,1.0,49.0,9.0,4
61,OFF-AR-10001868,Office Supplies,Art,0,0,5,0.0,0.0,0.0,1
62,TEC-AC-10004633,Technology,Accessories,10,10,3,0.3,9.7,-0.3,2
63,OFF-BI-10001078,Office Supplies,Binders,20,30,2,0.6,29.4,9.4,6
64,OFF-PA-10003892,Office Supplies,Paper,130,150,5,7.5,142.5,12.5,3
65,FUR-FU-10000397,Furniture,Furnishings,70,80,2,1.6,78.4,8.4,4
66,FUR-CH-10001146,Furniture,Chairs,180,210,5,10.5,199.5,19.5,5
67,OFF-AR-10002671,Office Supplies,Art,940,1110,3,33.3,1076.7,136.7,8
68,TEC-PH-10002726,Technology,Phones,160,170,3,5.1,164.9,4.9,4
69,OFF-PA-10000482,Office Supplies,Paper,70,80,2,1.6,78.4,8.4,2
70,OFF-BI-10004654,Office Supplies,Binders,0,0,3,0.0,0.0,0.0,1
71,OFF-PA-10004675,Office Supplies,Paper,20,20,3,0.6,19.4,-0.6,3
72,FUR-CH-10000513,Furniture,Chairs,790,830,2,16.6,813.4,23.4,8
73,FUR-FU-10003708,Furniture,Furnishings,90,100,3,3.0,97.0,7.0,2
74,OFF-ST-10004123,Office Supplies,Storage,60,70,2,1.4,68.6,8.6,1
75,OFF-BI-10004182,Office Supplies,Binders,0,0,4,0.0,0.0,0.0,3
76,FUR-FU-10000260,Furniture,Furnishings,10,10,4,0.4,9.6,-0.4,3
77,OFF-ST-10000615,Office Supplies,Storage,20,30,2,0.6,29.4,9.4,3
78,FUR-FU-10003194,Furniture,Furnishings,20,20,2,0.4,19.6,-0.4,5
79,OFF-AP-10002118,Office Supplies,Appliances,190,210,3,6.3,203.7,13.7,1
80,OFF-BI-10002309,Office Supplies,Binders,20,20,2,0.4,19.6,-0.4,3
81,OFF-AR-10002053,Office Supplies,Art,10,10,5,0.5,9.5,-0.5,5
82,OFF-ST-10002370,Office Supplies,Storage,20,20,4,0.8,19.2,-0.8,1
83,OFF-EN-10000927,Office Supplies,Envelopes,180,200,3,6.0,194.0,14.0,7
84,OFF-ST-10003656,Office Supplies,Storage,210,230,2,4.6,225.4,15.4,3
85,FUR-CH-10000863,Furniture,Chairs,260,300,5,15.0,285.0,25.0,2
86,TEC-AC-10001998,Technology,Accessories,20,20,5,1.0,19.0,-1.0,1
87,OFF-LA-10000134,Office Supplies,Labels,10,10,5,0.5,9.5,-0.5,2
88,OFF-ST-10003442,Office Supplies,Storage,140,160,5,8.0,152.0,12.0,7
89,OFF-AR-10004930,Office Supplies,Art,20,20,2,0.4,19.6,-0.4,3
90,TEC-PH-10004093,Technology,Phones,60,70,2,1.4,68.6,8.6,2
91,OFF-PA-10000304,Office Supplies,Paper,10,10,2,0.2,9.8,-0.2,1
92,OFF-PA-10003177,Office Supplies,Paper,10,10,2,0.2,9.8,-0.2,2
93,FUR-FU-10003799,Furniture,Furnishings,50,50,5,2.5,47.5,-2.5,3
94,OFF-BI-10002852,Office Supplies,Binders,20,30,3,0.9,29.1,9.1,2
95,OFF-BI-10004738,Office Supplies,Binders,10,10,2,0.2,9.8,-0.2,1
96,FUR-FU-10000629,Furniture,Furnishings,80,100,5,5.0,95.0,15.0,7
97,OFF-BI-10001721,Office Supplies,Binders,40,50,4,2.0,48.0,8.0,3
98,OFF-AP-10000358,Office Supplies,Appliances,70,80,3,2.4,77.6,7.6,6
99,OFF-PA-10003256,Office Supplies,Paper,60,60,3,1.8,58.2,-1.8,7
100,TEC-AC-10001767,Technology,Accessories,80,100,5,5.0,95.0,15.0,3
101,OFF-BI-10002609,Office Supplies,Binders,0,0,3,0.0,0.0,0.0,3
102,OFF-PA-10004040,Office Supplies,Paper,20,20,4,0.8,19.2,-0.8,4
103,TEC-AC-10001552,Technology,Accessories,220,240,3,7.2,232.8,12.8,6
104,FUR-FU-10004006,Furniture,Furnishings,90,100,5,5.0,95.0,5.0,3
105,OFF-BI-10002794,Office Supplies,Binders,30,40,5,2.0,38.0,8.0,3
106,TEC-AC-10003499,Technology,Accessories,60,70,5,3.5,66.5,6.5,8
107,TEC-PH-10002844,Technology,Phones,30,30,3,0.9,29.1,-0.9,1
